feature,chi2,p_value
wh_name,226546.7928042959,0.0
is_compound,198221.1080755911,0.0
unit_of_measure,109747.43040651237,0.0
level_3,62331.864977227466,0.0
is_rx,60808.001789860435,0.0
product_type,22500.613971510633,0.0
level_2,12858.524840692986,0.0
